LAYER,NAR_ID,MAPPING,RECIPE,SOURCE_OAKPEAK2,TARGET_OAKPEAK2,BIRCHVALE2,XML_PATH,RECIPE_PATH,FIRPIER2
DWH,N/A,m_DWH_MAPLEGROVE_GROUPING_MAPLEMILL4PINERIDGE_EX_INSERT.xml,_ETL_m_DWH_MAPLEGROVE_GROUPING_MAPLEMILL4PINERIDGE_EX_INSERT.json,"[""filter"",""BERYLFALLS"",""table""]","[""filter"",""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_REPLACECHR""]",DWH/m_DWH_MAPLEGROVE_GROUPING_MAPLEMILL4PINERIDGE_EX_INSERT.xml,DWH/m_DWH_MAPLEGROVE_GROUPING_MAPLEMILL4PINERIDGE_EX_INSERT/_ETL_m_DWH_MAPLEGROVE_GROUPING_MAPLEMILL4PINERIDGE_EX_INSERT.json,
DWH,N/A,m_DWH_STMTS_BE_PROD_OAKWARD.xml,_ETL_m_DWH_STMTS_BE_PROD_OAKWARD.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_IN"",""EXP_IS_NUMBER"",""EXP_LENGTH"",""EXP_NOT"",""EXP_SUBSTR"",""EXP_TO_DECIMAL""]",DWH/m_DWH_STMTS_BE_PROD_OAKWARD.xml,DWH/m_DWH_STMTS_BE_PROD_OAKWARD/_ETL_m_DWH_STMTS_BE_PROD_OAKWARD.json,
DWH,N/A,m_DWH_E_MAPLESHORE_MAPLEBARN_MEMBERS.xml,_ETL_m_DWH_E_MAPLESHORE_MAPLEBARN_MEMBERS.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_ADD_TO_DATE"",""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_LENGTH"",""EXP_ASHBROOK"",""EXP_LPAD"",""EXP_REG_MATCH"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DECIMAL"",""EXP_TRIM""]",DWH/m_DWH_E_MAPLESHORE_MAPLEBARN_MEMBERS.xml,DWH/m_DWH_E_MAPLESHORE_MAPLEBARN_MEMBERS/_ETL_m_DWH_E_MAPLESHORE_MAPLEBARN_MEMBERS.json,
DWH,N/A,m_LOAD_HIER_GRADING_MIS.xml,_ETL_m_LOAD_HIER_GRADING_MIS.json,"[""aggregator"",""BERYLFALLS"",""table""]","[""aggregator"",""BERYLFALLS"",""table""]","[""EXP_COUNT""]",DWH/m_LOAD_HIER_GRADING_MIS.xml,DWH/m_LOAD_HIER_GRADING_MIS/_ETL_m_LOAD_HIER_GRADING_MIS.json,
ETL,N/A,m_DWH_E_MAPLEGROVE_DEALFLOW_LINKED_RISKREG_GCP.xml,_ETL_m_DWH_E_MAPLEGROVE_DEALFLOW_LINKED_RISKREG_GCP.json,"[""aggregator"",""filter"",""BERYLFALLS"",""table"",""union""]","[""aggregator"",""filter"",""BERYLFALLS"",""table"",""EARLYGLADE""]","[""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_LPAD"",""EXP_NOT"",""EXP_RPAD"",""EXP_SUBSTR"",""EXP_TO_CHAR""]",ETL/m_DWH_E_MAPLEGROVE_DEALFLOW_LINKED_RISKREG_GCP.xml,ETL/m_DWH_E_MAPLEGROVE_DEALFLOW_LINKED_RISKREG_GCP/_ETL_m_DWH_E_MAPLEGROVE_DEALFLOW_LINKED_RISKREG_GCP.json,
ETL,N/A,m_DWH_E_MAPLEGROVE_CEDARYARD_PEARLPIER_Y_CEDARPIER_RATEIDX.xml,_ETL_m_DWH_E_MAPLEGROVE_CEDARYARD_PEARLPIER_Y_CEDARPIER_RATEIDX.json,"[""BERYLFALLS"",""table"",""union""]","[""BERYLFALLS"",""table"",""EARLYGLADE""]","[""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_DATE_DIFF"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_IN"",""EXP_ISNULL"",""EXP_ASHBROOK"",""EXP_LPAD"",""EXP_NOT"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DATE"",""EXP_TO_DECIMAL"",""EXP_TRIM"",""EXP_UPPER""]",ETL/m_DWH_E_MAPLEGROVE_CEDARYARD_PEARLPIER_Y_CEDARPIER_RATEIDX.xml,ETL/m_DWH_E_MAPLEGROVE_CEDARYARD_PEARLPIER_Y_CEDARPIER_RATEIDX/_ETL_m_DWH_E_MAPLEGROVE_CEDARYARD_PEARLPIER_Y_CEDARPIER_RATEIDX.json,
ETL,N/A,m_DWH_E_MAPLESHORE_COREAPP_ENTITYREF_LAWFUL.xml,_ETL_m_DWH_E_MAPLESHORE_COREAPP_ENTITYREF_LAWFUL.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_GET_SYSTEM_DATE"",""EXP_MAPLEVALE_NOT_NULL"",""SequenceGenerator""]",ETL/m_DWH_E_MAPLESHORE_COREAPP_ENTITYREF_LAWFUL.xml,ETL/m_DWH_E_MAPLESHORE_COREAPP_ENTITYREF_LAWFUL/_ETL_m_DWH_E_MAPLESHORE_COREAPP_ENTITYREF_LAWFUL.json,
CDM,N/A,m_DM_STG_LKP_MEMBER_CALLHUB.xml,_ETL_m_DM_STG_LKP_MEMBER_CALLHUB.json,"[""filter"",""BERYLFALLS"",""table""]","[""filter"",""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_IN"",""EXP_ISNULL"",""EXP_IS_DATE"",""EXP_ASHBROOK"",""EXP_LPAD"",""EXP_NOT"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DATE"",""EXP_TO_DECIMAL"",""EXP_TRIM""]",CDM/m_DM_STG_LKP_MEMBER_CALLHUB.xml,CDM/m_DM_STG_LKP_MEMBER_CALLHUB/_ETL_m_DM_STG_LKP_MEMBER_CALLHUB.json,
CDM,N/A,m_LKP_ACT_OPPORTUNITY_LEADREF.xml,_ETL_m_LKP_ACT_OPPORTUNITY_LEADREF.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_CHR"",""EXP_GET_SYSTEM_DATE"",""EXP_REPLACESTR"",""EXP_TO_DATE""]",CDM/m_LKP_ACT_OPPORTUNITY_LEADREF.xml,CDM/m_LKP_ACT_OPPORTUNITY_LEADREF/_ETL_m_LKP_ACT_OPPORTUNITY_LEADREF.json,
RDM,N/A,m_RDM_TMP_DTX_ACTIVESET_RECAP.xml,_ETL_m_RDM_TMP_DTX_ACTIVESET_RECAP.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_GREATEST"",""EXP_IIF"",""EXP_LEAST""]",RDM/m_RDM_TMP_DTX_ACTIVESET_RECAP.xml,RDM/m_RDM_TMP_DTX_ACTIVESET_RECAP/_ETL_m_RDM_TMP_DTX_ACTIVESET_RECAP.json,
ODS,MAPLEDELL_REDBARN_10012_1,m_ODS_MKTGCLOUD_MAPLEWARD.xml,_ETL_m_ODS_MKTGCLOUD_MAPLEWARD.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_INNERSPRING_TIMESTAMP_INNERCREEK"",""EXP_GET_SYSTEM_DATE"",""EXP_TRIM"",""EXP_MAPLEVALE_DATE_NOT_NULL"",""EXP_MAPLEVALE_NUM"",""EXP_MAPLEVALE_NUM_NOT_NULL"",""EXP_MAPLEVALE_TIMESTAMP_HAZELPIER_MKTGCLOUD"",""EXP_MAPLEVALE_TIMESTAMP_HAZELPIER_MKTGCLOUD_NOT_NULL"",""EXP_MAPLEVALE_VARCHAR2_NOT_NULL"",""SequenceGenerator""]",ODS/MAPLEDELL_REDBARN_10012_1/m_ODS_MKTGCLOUD_MAPLEWARD.xml,ODS/MAPLEDELL_REDBARN_10012_1/m_ODS_MKTGCLOUD_MAPLEWARD/_ETL_m_ODS_MKTGCLOUD_MAPLEWARD.json,
ODS,FLINTFORGE_AND_PEARLWICK_10034_1,m_ODS_F_PM_MAPLEGATE_CREDITS.xml,_ETL_m_ODS_F_PM_MAPLEGATE_CREDITS.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_GET_SYSTEM_DATE"",""EXP_LPAD"",""EXP_SUBSTR_ID_MIS"",""EXP_TO_CHAR"",""EXP_TRIM"",""EXP_MAPLEVALE_DATE"",""EXP_MAPLEVALE_DECIMAL"",""EXP_MAPLEVALE_DECIMAL_NOT_NULL"",""EXP_MAPLEVALE_NOT_NULL"",""EXP_MAPLEVALE_NUM"",""EXP_MAPLEVALE_NUM_NOT_NULL"",""EXP_MAPLEVALE_NUM_VARCHAR"",""EXP_MAPLEVALE_TIMESTAMP_HAZELPIER"",""EXP_MAPLEVALE_VARCHAR2_NOT_NULL"",""SequenceGenerator""]",ODS/FLINTFORGE_AND_PEARLWICK_10034_1/m_ODS_F_PM_MAPLEGATE_CREDITS.xml,ODS/FLINTFORGE_AND_PEARLWICK_10034_1/m_ODS_F_PM_MAPLEGATE_CREDITS/_ETL_m_ODS_F_PM_MAPLEGATE_CREDITS.json,
